type, client, tx, amount
withdrawal, 16, 1, 1116.0538
withdrawal, 44, 2, 3703.3387
deposit, 38, 3, 2109.6092
withdrawal, 14, 4, 1163.3045
withdrawal, 36, 5, 994.1883
deposit, 35, 6, 2097.5992
deposit, 18, 7, 4047.1523
deposit, 11, 8, 3490.6970
deposit, 10, 9, 1076.5689
deposit, 7, 10, 463.7293
deposit, 23, 11, 3018.6302
deposit, 47, 12, 2297.1245
deposit, 25, 13, 394.0011
deposit, 41, 14, 3092.5988
deposit, 37, 15, 961.4430
deposit, 43, 16, 1139.4915
deposit, 6, 17, 4276.5886
withdrawal, 25, 18, 1389.8681
deposit, 24, 19, 813.2706
deposit, 43, 20, 1334.8892
withdrawal, 42, 21, 357.0126
deposit, 35, 22, 3645.6340
deposit, 25, 23, 1349.7392
withdrawal, 45, 24, 2784.7488
deposit, 50, 25, 3879.9996
deposit, 3, 26, 4025.2290
deposit, 5, 27, 1054.9143
withdrawal, 46, 28, 1573.3895
withdrawal, 26, 29, 4423.4158
deposit, 10, 30, 1324.4009
withdrawal, 36, 31, 2694.8865
deposit, 28, 32, 4489.1144
deposit, 15, 33, 4986.6289
deposit, 32, 34, 454.5472
deposit, 8, 35, 764.2067
deposit, 44, 36, 2110.7999
withdrawal, 25, 37, 2979.4422
deposit, 17, 38, 4855.3919
deposit, 1, 39, 3401.4171
dispute, 35, 22,
deposit, 8, 40, 1467.5007
dispute, 1, 39,
withdrawal, 33, 41, 3809.8110
deposit, 7, 42, 4352.5929
deposit, 41, 43, 2538.3145
withdrawal, 24, 44, 3812.5540
deposit, 50, 45, 4612.1704
deposit, 39, 46, 1620.7804
dispute, 24, 19,
deposit, 16, 47, 289.6259
withdrawal, 6, 48, 428.2674
withdrawal, 5, 49, 4889.9225
withdrawal, 9, 50, 641.9574
withdrawal, 36, 51, 825.6349
deposit, 39, 52, 2115.6898
withdrawal, 35, 53, 3776.3260
deposit, 46, 54, 1558.5815
deposit, 42, 55, 1867.1026
deposit, 29, 56, 605.0211
withdrawal, 22, 57, 105.1714
deposit, 38, 58, 1101.0870
deposit, 41, 59, 294.3689
deposit, 3, 60, 4298.1770
withdrawal, 16, 61, 1392.3864
resolve, 35, 22,
dispute, 16, 47,
deposit, 7, 62, 484.6542
dispute, 28, 32,
withdrawal, 44, 63, 3267.2775
deposit, 4, 64, 2013.1065
deposit, 7, 65, 1243.2817
deposit, 29, 66, 700.9116
deposit, 30, 67, 1249.0323
dispute, 29, 56,
withdrawal, 4, 68, 3260.7245
resolve, 1, 39,
withdrawal, 11, 69, 2032.0703
deposit, 26, 70, 4512.2143
deposit, 1, 71, 4926.5442
withdrawal, 30, 72, 1426.2462
withdrawal, 47, 73, 4977.1134
deposit, 46, 74, 2433.3571
withdrawal, 14, 75, 4843.5468
deposit, 35, 76, 304.7880
withdrawal, 4, 77, 2920.8880
deposit, 34, 78, 787.1637
deposit, 6, 79, 4256.7127
deposit, 5, 80, 3376.0628
withdrawal, 8, 81, 4707.9806
withdrawal, 38, 82, 2972.5958
withdrawal, 27, 83, 3286.8659
deposit, 21, 84, 4673.5313
deposit, 46, 85, 1570.9194
deposit, 9, 86, 3358.4511
deposit, 21, 87, 4645.0917
deposit, 1, 88, 2291.4277
deposit, 7, 89, 366.3037
deposit, 17, 90, 662.2829
deposit, 5, 91, 4396.3512
withdrawal, 11, 92, 2190.9229
deposit, 20, 93, 3058.3889
withdrawal, 42, 94, 2644.7035
withdrawal, 36, 95, 1496.8938
deposit, 9, 96, 1322.3297
deposit, 48, 97, 2766.1182
deposit, 39, 98, 1053.1484
deposit, 44, 99, 3171.1898
deposit, 32, 100, 1255.6063
deposit, 4, 101, 461.4924
deposit, 18, 102, 220.4339
deposit, 9, 103, 3185.5669
withdrawal, 48, 104, 2209.1776
deposit, 36, 105, 48.3486
withdrawal, 45, 106, 4519.6429
deposit, 24, 107, 2912.5479
deposit, 9, 108, 209.1444
deposit, 3, 109, 4494.6232
deposit, 16, 110, 3334.6671
deposit, 36, 111, 4420.6735
deposit, 40, 112, 3747.3881
deposit, 16, 113, 4323.0285
deposit, 12, 114, 4407.0810
dispute, 48, 97,
dispute, 43, 20,
deposit, 11, 115, 3936.8726
deposit, 3, 116, 4292.9663
dispute, 30, 67,
deposit, 15, 117, 118.3223
deposit, 22, 118, 1393.0154
withdrawal, 50, 119, 1395.6250
dispute, 26, 70,
deposit, 2, 120, 576.7088
deposit, 12, 121, 2902.9487
deposit, 3, 122, 542.0128
deposit, 47, 123, 3932.1409
deposit, 33, 124, 578.2290
withdrawal, 13, 125, 1273.6126
dispute, 1, 88,
withdrawal, 47, 126, 4701.3156
deposit, 13, 127, 1821.1074
withdrawal, 43, 128, 4603.8543
withdrawal, 43, 129, 4240.0764
withdrawal, 20, 130, 2535.6126
deposit, 21, 131, 2012.0020
withdrawal, 9, 132, 959.2005
deposit, 25, 133, 3386.5898
deposit, 40, 134, 2845.5263
deposit, 1, 135, 1519.3748
deposit, 38, 136, 3033.3079
deposit, 29, 137, 2210.7991
deposit, 31, 138, 3968.6770
deposit, 48, 139, 848.4571
withdrawal, 33, 140, 3319.2692
dispute, 6, 79,
deposit, 15, 141, 4032.8145
withdrawal, 3, 142, 1224.2128
deposit, 50, 143, 364.1412
withdrawal, 41, 144, 2878.3545
deposit, 25, 145, 2471.8859
deposit, 42, 146, 3438.1121
dispute, 50, 25,
withdrawal, 12, 147, 4020.5493
deposit, 30, 148, 251.0920
dispute, 8, 40,
withdrawal, 49, 149, 4457.1296
deposit, 47, 150, 4460.1015
deposit, 36, 151, 2229.5681
dispute, 31, 138,
withdrawal, 50, 152, 3888.3742
deposit, 16, 153, 1372.9873
deposit, 19, 154, 1172.4680
deposit, 35, 155, 402.8884
withdrawal, 25, 156, 3469.7491
deposit, 5, 157, 2074.3395
deposit, 30, 158, 2078.8712
deposit, 27, 159, 1947.3841
deposit, 45, 160, 97.6599
deposit, 37, 161, 1901.9052
deposit, 23, 162, 1493.0633
withdrawal, 27, 163, 2691.1029
withdrawal, 39, 164, 4489.0567
deposit, 18, 165, 2179.1799
dispute, 22, 118,
deposit, 30, 166, 4597.7081
deposit, 35, 167, 134.8324
deposit, 37, 168, 3314.9988
withdrawal, 28, 169, 678.4975
deposit, 4, 170, 1300.7816
dispute, 30, 158,
dispute, 18, 102,
withdrawal, 6, 171, 2351.5342
deposit, 4, 172, 4999.5391
deposit, 42, 173, 343.0919
deposit, 3, 174, 3771.1660
withdrawal, 13, 175, 4196.1442
withdrawal, 16, 176, 631.1050
withdrawal, 37, 177, 4738.7851
deposit, 17, 178, 3834.4905
withdrawal, 39, 179, 4818.6737
deposit, 50, 180, 4096.5059
deposit, 7, 181, 2893.4237
deposit, 37, 182, 3386.7365
deposit, 26, 183, 4707.3530
withdrawal, 38, 184, 3453.0721
deposit, 7, 185, 3485.9650
deposit, 44, 186, 3002.0581
deposit, 37, 187, 3913.1768
deposit, 28, 188, 3307.6067
dispute, 42, 146,
deposit, 7, 189, 2167.6171
deposit, 30, 190, 3536.5432
withdrawal, 47, 191, 2608.7338
withdrawal, 40, 192, 4040.9961
deposit, 31, 193, 2324.3689
dispute, 38, 3,
deposit, 18, 194, 4408.1559
withdrawal, 30, 195, 2849.2483
deposit, 22, 196, 143.5001
deposit, 12, 197, 2437.7497
deposit, 17, 198, 1701.6943
withdrawal, 45, 199, 4400.5367
deposit, 34, 200, 4740.3129
withdrawal, 47, 201, 2032.1407
withdrawal, 16, 202, 3453.0467
deposit, 32, 203, 2240.8728
withdrawal, 19, 204, 1107.9821
deposit, 20, 205, 3319.8001
deposit, 36, 206, 2654.6097
deposit, 48, 207, 2751.9424
deposit, 30, 208, 1354.5822
deposit, 8, 209, 3606.4217
dispute, 48, 139,
withdrawal, 13, 210, 1081.9233
dispute, 47, 150,
dispute, 19, 154,
deposit, 15, 211, 1804.4054
deposit, 46, 212, 2670.6755
withdrawal, 4, 213, 2766.7949
dispute, 9, 86,
withdrawal, 1, 214, 2870.3211
deposit, 29, 215, 1703.5297
withdrawal, 17, 216, 4705.3180
deposit, 5, 217, 2003.5373
deposit, 41, 218, 3432.2551
deposit, 37, 219, 4745.6282
dispute, 16, 153,
deposit, 39, 220, 3953.7042
deposit, 34, 221, 1901.8902
deposit, 20, 222, 4300.8333
deposit, 20, 223, 2843.1474
dispute, 48, 207,
deposit, 17, 224, 3302.1407
deposit, 12, 225, 2759.9613
withdrawal, 27, 226, 2252.5186
deposit, 19, 227, 163.1994
withdrawal, 19, 228, 3514.9378
deposit, 44, 229, 1167.1191
dispute, 41, 43,
deposit, 28, 230, 573.8816
dispute, 10, 9,
deposit, 4, 231, 829.6140
resolve, 48, 139,
deposit, 8, 232, 2343.4899
withdrawal, 26, 233, 4713.3812
withdrawal, 32, 234, 2188.7944
withdrawal, 28, 235, 3672.6696
deposit, 2, 236, 456.6345
deposit, 37, 237, 2935.6147
deposit, 49, 238, 3361.4080
deposit, 3, 239, 3815.5450
deposit, 34, 240, 3257.5475
deposit, 12, 241, 4984.7274
withdrawal, 32, 242, 4845.2762
withdrawal, 27, 243, 1666.5420
withdrawal, 11, 244, 1649.0184
deposit, 19, 245, 3312.9177
withdrawal, 49, 246, 2750.4831
deposit, 21, 247, 1261.9943
